spanish,wayuunaiki
"aqui vengo","ani taya antüin"
"ya estoy aqui","ani taya"
"aqui esta ella","anuu shiaka"
"que curioso","kasanarai ma'i pia"
"soy cocinero","a'lakajüi taya"
"soy un monje","monje tayakai"
"estoy mejor","anaaichipa taya"
"lo compre","tayalajüin"
"quede ultima","chiiruajatü taya"
"puedo compartir","eesü teitajüin"
"no puedo decir","nnojo taküjüintü"
"confese","püküjaa maa"
"lloro mucho","a yalüshi ma i taya"
"ahora conduzco","amaanejajechi joolu u"
"como pan","ekaashi taya pan"
"noto frio","saamatüipaa ya'aya"
"tenia frio","akurutshi taya"
"me senti estupido","malaakai taa in"
"senti eso","too ulaaküin tia"
"encontre un trabajo","tantüipa anain wanee a yatawaa"
"me emborrache","eperüshi taya"
"tuve que ir","o unushi taya chamüin"
"odio los gatos","ta ürülasü na muusaka"
"odio la leche","ta ürülasü tü leechika"
"odio la arena","ta ürülasü tü mmaka"
"tengo gota","eesü tamana sonojia"
"traigo noticias","antitshi taya achikü"
"tengo vino","eesü wina tamana"
"yo escucho eso","taapajüin tia"
"contrate a tom","taneekaain tom"
"los conozco","tayaawatüin naya"
"esto lo se","tü maka tatüjaa aa u"
"conozco esto","te raajüin tia"
"me gusta eso","tacheküin tia"
"me gustan","tacheküin"
"amaba a tom","tachekapüin tom"
"amo la vida","tachekashaatüin kataa a'u"
"amo las matematicas","tacheküin matematika"
"la amaba","tachekapüin"
"lo extra aba","mojusü taa in naali"
"necesito efectivo","cho ujasü nnerü sulu u karaloukta"
"necesito esto","cho'ujaasü türa tamüin"
"necesito tiempo","cho'jaasü akalia tapüleerü"
"yo nunca gano","nnojorüleshi taya akanajüin"
"leo labios","aashaje'etshi taya eimata"
"dije que alto","püsha'wala müshi taya"
"yo dije eso","tamüsü tia"
"vendo autos","oikkaashi taya e'ejena"
"confio en ti","ataralashi taya pümaa"
"quiero mas","chee soo'omüin"
"los quiero","tacheküin jia"
"las quiero","tacheküin jaya"
"estaba despierto","yalajachi kataa o'u"
"estaba aburrido","yalajachi akulajain taa'in"
"estaba borracho","yalajachi epe'rüin"
"estaba despedido","ojutunüichipa taya"
"tuve suerte","anasü takuwa'ipa"
"yo era ingenuo","nnojotpüsu tatüjain aa'u"
"estaba desnudo","yalajachi maichein"
"yo tenia razon","tamatüjüt"
"estaba cansado","yalajachi mapüsain"
"yo tambien fui","ja'itaichi tekei o'unushi"
"gane otra vez","akanajüshi taya tachukua'a"
"trabajo aqui","a'yatashi taya ya'aya"
"lo probare","too'ulaaküintü"
"soy panadero","aainjüi taya pan"
"soy un perdedor","amüloulii ma'i taya"
"soy una perdedora","amüloulüü ma'i taya"
"soy mujer","jiet taya"
"estoy desconcertado","ainku aa'in"
"estoy bailando","oyonnaajüshi taya"
"estoy emocionada","talatüsü taya"
"estoy ayunando","aamüjaashi taya"
"soy quisquilloso","kaünürai taya"
"soy fraile","fraile taya"
"estoy enamorada","kamürajüinsü taya"
"estoy inquieto","jiwa'ataatshi taya"
"estoy saliendo","ajuittushi taya"
"soy neutral","lotoo aa'in taya"
"no soy gorda","nnojotsü kaüsüüin taya"
"no estoy viejo","nnojoishi taya laaülaain"
"estoy mentalizado","tekiirüsu taya"
"estoy leyendo","aashaje'etshi taya"
"estoy descansando","eemerashi taya"
"soy egoista","je'iyeei ma'in taya"
"estoy tan lleno","emiraaleshi taya"
"estoy atrapado","ata'küshi taya"
"tengo mala suerte","nnojotü anaain takuwa'ipa"
"estoy esperando","a'atapajüshi taya"
"estoy preocupada","ashapatüsu taa'in"
"ignoralos","mache'e pia suulia"
"ha acabado tom","aja'ttusu nutuma tom"
"tom es bueno","anamiaa tom"
"esta aqui tom","anii tom ya'aya"
"esta el bien","anaashi niakai"
"se encuentra bien","anaaichipa niakai"
"para llevar","süpüla alü'üjaa"
"esta ventoso","jouktaishatasü"
"es ese tom","nia chira tom"
"es eso nuevo","jeketü türa"
"esto es nuevo","jeketü tüü"
"costo dolares","tolarü sülia"
"paso","ala'tüsü"
"eso sucedio","shia ala'taka"
"yo invito","touneküin jia"
"podria nevar","eesü ajuttüin niewe"
"me salvo","o'tte'erüshi taya"
"fue real","shiimüin ma'i"
"son yenes","yen saa'u"
"es lunes","luune'ulu so'uka'i"
"es un pez","wanee jime türa"
"es un arpa","wanee atpa türa"
"es un quilombo","wanee kilompa tia"
"es una normativa","wanee sukuwa'ipa"
"es un vicio","nümalain ne'e tia"
"todo bien","anaashi"
"esta estropeado","yülüipa tia"
"hace fresco","saamatuisu"
"se esta fresquito","saamatuisu ma'i"
"esta nublado","sirumasu"
"es normal","ale'ei tia"
"no somos nosotros","nnojoishi wayain"
"sigue moviendote","punsülaa soo'omüin"
"dejame ayudar","chee takaaliijai"
"hazmelo saber","püküjaa tamüin"
"dejame vivir","pu'ula kataa o'u taa'in"
"hagamoslo","joo'uya waainjai"
"entremos","joo'u wekerotai"
"vamos para arriba","joo'uya iipünaa"
"vamos al guateque","joo'u guatequemüin"
"festejemos","joo'u talatai waa'in"
"relajemonos","jimataa ne'e waya"
"mira a tom","punajaa nümüin tom"
"busca","puchajawaa"
"haz una lista","paainjaa wanee anüliaamaajatü"
"pide un deseo","puchuntaa tü püchekaka"
"justo a tiempo","pansaasü ka'ika"
"ninguno acudio","nnojotsüirua antüin"
"nadie mintio","nnojotü jarai aküjain alawaa"
"ahora estoy triste","mojusü taa'in joolu'u"
"ahora ayudame","pukaaliijaa taya joolu'u"
"ahora resiste","püchechera paa'in joolu'u"
"ahora callate","koutaa pia joolu'u"
"uno es azul","wanee wüittüsü"
"una es azul","wanee'ya wüittüsü"
"canta por favor","pi'irajaa analüü putuma"
"por favor quedense","makaata jaya"
"parate un momento","püsha'wala motsamüin"
"bajalo","püshakateraa"
"liberale","taashii pukuwa'ipa"
"deci adios","maa aja"
"nos vamos","o'unaa wamüin"
"ella lo mordio","sojottüin shiaka"
"ella esta muerta","ouktusu shiaka"
"ella se desperto","achijirasü shiaka"
"muestrame como","pii'iyataa jamül'u'u"
"a un lado","püsutnaa"
"dejad sitio","püsutnaa yaaje"
"empieza otra vez","paainjaa suchukua'a"
"sigue haciendolo","ayataa putuma"
"quieto ahi","jimataa pia yaala"
"deja de moverte","jimataa nnojo pukutulain"
"deja de intentarlo","pu'ula tia"
"saque una carta","piyu'laa wanee katta"
"saca una carta","pi'yulaa wanee katta"
"llevate mi coche","pülü'üja te'ejena"
"habla con tom","paashaja numaa tom"
"eso ayudo","akaaliijasü tia"
"eso funciono","shia shiimainka"
"ya ha pasado","alatüipa"
"ahi estan","nasa naya"
"son ellos","nayai"
"son esos","shia türairü"
"alla esta","cha'asa nia"
"llamaron","ounekashi"
"bailaron","ayonnajüshi"
"lo hicieron","naainjala"
"se abrazaron","oko'ojüshi nayainü"
"se besaron","ousirajusu"
"obedecieron","oonoshi namaa"
"me veian","ni'rapüin taya"
"esperaron","a'atapajüshi"
"ellos caminaron","waraittüshi nayainü"
"pasearon","apasiajashi waya"
"ellos gritaron","a'waatüshi naya"
"son malos","mojulashi naya"
"estan malos","mojulashi joolu'u"
"son nuevos","jeketü naya"
"estan nuevas","jeketüyulia"
"son ancianos","laaülaasuirua"
"estan mayores","alaaülaaipa"
"este es tom","chi nia tom"
"eso es malo","mojusu türa"
"esto es hielo","yelo türa"
"esto apesta","jawaisü ma'i"
"tom se sonrojo","ishoojashi tom"
"tom cambio","a'wanajashi tom"
"tom vario","a'wanajaashi nukuwa'ipa tom"
"tomas hizo trampa","tomas aainjüshi türampa"
"tom se estrello","pasiruashi tom"
"tom decidio","aneeküichipa tom"
"tomas se ahogo","wüinsirashi tomas"
"tom escapo","a'luwatashi tom"
"tom espiro","nüsalalu'uin naa'in tom"
"tom tiene doc","eesü wanee doc nüma'ana tom"
"tom inhalo","aatüshi eejuu tom"
"tom es calvo","moikiishi tom"
"tom esta pelon","ma'walasai tom"
"tom esta tranquilo","jimatüshi tom"
"tom esta lleno","emirashi tom"
"tom es perezoso","jawa'awaashi tom"
"tom es amable","kamaneshi tom"
"tomas es pobre","müliashi tomas"
"tom es alto","yaletüshi tom"
"tom es ordenado","lotüsu naa'in tom"
"tom esta debil","matsüinshi tom"
"tom se arrodillo","nusapainshi tom"
"tom escucha","aapajushii tom"
"tom se nego","nnojo müshi tom"
"tom se relajo","jimajimatshi tom"
"tom se relajaba","jimatapüshi tom"
"tom se resbalo","achü'üchajaashi tom"
"tom estornudo","ashoujüshi tom"
"tom ense a","ekirajüshi tom"
"tomas era mayor","epayakai nia tomas"
"tom estaba triste","mojupusu naa'in tom"
"tom esta alerta","eesü naa'in tom"
"tom esta solo","nimüiwashi tom"
"tom esta despierto","achijiraichipa tom"
"tom esta aburrido","akulajasü naa'in tom"
"tom esta borracho","epetshi tom"
"tom llega temprano","aantechi tom maalü"
"tom es alegre","talatai ma'i tom"
"tom es estupendo","kamaneshi ma'i tom"
"tom es joven","jima'ai tom"
"pruebate ese","pu'ulaka türa"
"pruebate este","pu'ula tüü"
"esperame","pa'atapajaa taya"
"espera por mi","pa'atapajaa ne'e taya"
"estuvo bueno","anaakua'ipalün"
"todos trabajamos","a'yatashi waya wapüshua'a"
"comimos huevos","ekaashi waya sushuku katiou"
"lo dejamos","oo'ulashi waya"
"rompimos","oo'ulawa tüü"
"podemos ayudar","wakaaliijein jia"
"nosotros podemos ayudar","eesü süpüla wakaaliijain"
"podemos encontrarnos","eesü waantirai"
"podemos vernos","eesü we'rejirai"
"nos perdimos","amülouishi waya"
"el nos agrada","kamaneshi wamüin niakai"
"nos gustas","wacheküin piakai"
"amamos a tom","aishi wapüla tom"
"te extra amos","mojusü waa'in püchiirua"
"hay que actuar","waa'inramatai shia"
"tenemos que correr","joo'u wawatai"
"te necesitamos","cho'ujaashi pia wamüin"
"lo prometimos","wamüipa tia"
"nos acordamos","sotüsu waa'in"
"nos recordamos","sotüipa waa'in"
"nos sentamos","joo'uya waikkalai"
"estaremos bien","anenni waya"
"nosotros conduciremos","wo'unirajerü e'ejenaka"
"estamos aburridos","akulajasü waa'in"
"lo sentimos","mojusü waa'in saa'u"
"somos gemelos","senkeyuushi waya"
"somos jovenes","jima'aili waya"
"que burro eres","püliikü ma'i pia"
"que burro","püliikü ma'i"
"que pendejo","malashi ma'i"
"que imbecil","malakai paa'in"
"que perdida","amülouwa tüü"
"que mugre","yerüttakatchen"
"que confusion","maa'awashi"
"que ego","pülaawata aa'in"
"que esta bien","kasa anasü"
"donde esta el","jalashi nia yaa"
"donde esta tom","jalashi tom"
"quienes sois","jaralii jaya"
"quien vitoreo","jarai talatakai ma'i"
"quien lo dibujo","jarai ayaakuajakai"
"quien te vio","jarai e'raaka pia"
"quien va primero","jarai palajainchikai"
"quien va","jarai o'unajachi"
"iras","o'uneshi pia"
"ponlo por escrito","pi'ita sulu'u ashajüshi"
"si lo se","aa tatüjaa aa'u"
"hizo trampa","aainjüshi türampa"
"te desmayaste","ouktapünashi pia"
"se desmayo","ouktapünashi"
"quedatelo","paapa maa"
"ya me conoces","pii'rajüichipa taya"
"lo has conseguido","pantüipa anain"
"lo habeis logrado","püshatüipa"
"asi exactamente asi","mayaa müinjatü mayaa"
"ya has vuelto","yaaichipa pia"
"sos un langa","tooloshatasü paa'in"
"ustedes estan bien","anatashi jia"
"eres libre","taashii'ipa pia"
"eres buena","anamiaa piaka"
"eres mezquino","kaünürai ma'in pia"
"tu eres mio","tamüin pia"
"estas a salvo","o'ttawashi pia"
"estas enfermo","ayuuishi pia"
"estas debil","matsüinsü paa'in"
"abandonen la nave","jojuitta sulu'uje tüü e'ejenaka"
"estoy invitado","ounekajaanüshi taya"
"nada nuevo","kasa eeka jeketü"
"estas tu calvo","moikiishi jo pia"
"eres calvo","moikiishi pia"
"esta usted ocupado","küpaashi piakai"
"tienes frio","akurutshi pia"
"estas muerto","ouktüshi pia"
"eres sordo","mache'esai pia"
"acaso eres sordo","mache'esai eera pia"
"estas libre","taashisü pia"
"estas lleno","emirashi pia"
"estais seguros","pansaaipa jia"
"ten confianza","poono sümaa"
"ten seguridad","poono ma'in"
"se despiadado","mojulaa paa'in"
"sean objetivos","lotoo janüikika"
"se realista","pi'raja tü shiimainka"
"ten paciencia conmigo","nnojo jakülajaain tamaa"
"se paciente conmigo","nnojo pükulajaain tamaa"
"ternera por favor","anneerü analu'ut putuma"
"hierve un huevo","poolojoopa wanee ashuku"
"hazle pasar","maa nümüin nülatai"
"trae mi sombrero","püsaaja tamüin takuwomain"
"llama al fbi","peenakaa na fbi"
"puedes venir","eesü süpüla püntüin"
"echale un vistazo","piraka motsamüin"
"compruebalo","püsanapan"
"ven cuando quieras","püntaa eepünai pünteein"
"ven alguna vez","püntaa soo'u wanee ka'i"
"suba aqui","püliikaja ya'aya"
"suban aqui","jaliikaja yaamüin"
"venga conmigo","jalaichi tamaa"
"ven con nosotras","jalairü wamaa"
"enfrialo","püsaamaterapan"
"ha llamado tom","ouneküshi tom"
"usted ayudo","eesü akaaliijain pia"
"ustedes ayudaron","akaaliijashi jaya"
"usted ayudaba","akaaliijapüshi piakai"
"firmaste","püshajüipa"
"firmaron","nashajüipa"
"luzco bien","anasü tashe'in"
"me veo bien","anasü pii'rüin taya"
"hazlo el lunes","paainja luune'ulu"
"lo conocen","ji'rajüin"
"bebe usted","asüi pia"
"usted fuma","eesü akamüjain pia"
"fumas","akamüjashi pia"
"tu roncas","eesü kokolooin pia"
"se nota","jayaasü"
"funciona eso","eesü anain türa"
"no seas timida","nnojo japülin piaka"
"no tengas pena","nnojo japülin ma'in pia"
"no te sueltes","nnojo püjütain achikü"
"no divagues","piimala tü pikiirüka"
"conduce mas rapido","püwate'era soo'omüin"
"conduzca con cuidado","püwate'era jayatta'a"
"conduce lentamente","püwate'era jayattachon"
"examinen esto","jünajaa tüü"
"lucha o muere","eejira paa'in otta eesü ouktüin pia"
"encuentra al gato","püchaja chi muusakai"
"encuentren al gato","jüchaja chi muusakai"
"trae el libro","püntiraa tü karalouktaka"
"consigue el libro","püchaja tü karalouktaka"
"recoge el libro","püyaleraa tü karalouktaka"
"traiga el libro","püsaaja tü karalouktaka"
"recoja el libro","püyalera'ma tü karalouktaka"
"anda para arriba","pu'una chaamüin iipünamüin"
"los fantasmas existen","na yolujakalirü shiimüin"
"denme la mitad","eesü jaapain tamüin shiatapünaa"
"dadme la mitad","jaapaa tamüin shiatapünaa"
"denme tiempo","jaapaai ka'i tamüin"
"ve adentro","pu'una paülü'ümüin"
"feliz pascua","anakuwa'ipa paskua"
"toma una rosquilla","paapan wanee kayeta"
"comete una rosquilla","pikaa wanee kayeta"
"ten un trago","ani wanee asüüshi"
"come botana","pikaa wanee eküülü"
"tome otra","paapa maa wanee"
"se valiente","toolo paa'in"
"sed valientes","toolo jaa'in"
"el me evita","yüütüshi nia to'ulia"
"el grito","kookokuu müshi"
"el lo nego","je'iyeeshi saa'u"
"se quedo dormido","atunkaleshi"
"el se enfado","jashichishi niakai"
"tiene un perro","eesü nümaa wanee erü"
"la ayuda","tü akaaliijaa"
"esta enfadado","jashichishi"
"esta de morros","nnojoishi japüliin"
"el esta motivado","eeshaatasü naa'in"
"el lo pateo","nüshe'etüin niakai"
"me dejo ir","nüpütüin to'unuin"
"el fue humillado","eme'erainpalashi niakai"
"el quedo mal","mojuakuwa'ipa naainjala niakai"
"el perdio prestigio","amülouisu naalin niakai"
"el la queria","aipüsü shiakai nümüin"
"el la quiere","aisü shiaka nümüin"
"corre rapido","püwatawaata"
"el estaba solo","nümüiwapüshi niakai"
"el era valiente","toolopüshi naa'in niakai"
"el era ingenuo","matüjainpüshi niakai"
"el estaba equivocado","o'tchejapüshi amaa niakai"
"esperara","oukajainchi"
"es un fanatico","oushikai achiirua kasa"
"el es ninja","ninja niakai"
"esta sufriendo","müliasü naa'in"
"toma un boli","paapan wanee woli"
"que pesado","keke'erai ma'in"
"que incordio","katnürai ma'in"
"que hincha pelotas","katnürakatchen naya"
"que arrogante","katnüralii ma'in"
"como te atreves","jamüsü maka'a painjala"
"que horrible","kashüülasu ma'in"
"que romantico","araatonkai ma'in naa'in"
"admiro a tom","meeshi taya müinka naa'in tom"
"estoy rezando","oorajüshi taya"
"me disculpe","tachuntüin analüü"
"comi manzanas","eküshi taya mansana"
"yo comi manzanas","eküichipa taya mansana"
"llame a tom","tounekain tom"
"yo puedo arreglarlo","eesü süpüla tanouktain"
"no puedo cantar","isasü tachiki ee'irajaa"
"no puedo parar","isasü tachiki tasha'walain"
"no se nadar","nnojoishi taya atüjain ashuunajaa"
"no puedo hablar","isasü tachiki aashajawaa"
"no puedo caminar","isasü tachiki waraitta"
"podria caminar","eesü süpüla waraittüin taya"
"me corto","nü'yoton taya"
"yo no pregunte","nnojoishi taya asakirain"
"no menti","nnojoishi taya aküjain alawa"
"no pague","nnojoishi taya awalaajüin"
"no me importa","majutsalii tapüla"
"lo desconozco","nnojotsü te'rajüin"
"yo no canto","nnojishi taya ee'irajüin"
"tome leche","püsaa leechi"
"he bebido leche","asüichipa taya leechi"
"yo bebi leche","asüshi taya leechi"
"vine conduciendo","to'unirüin tüü te'ejenaka"
"conduje hasta aqui","to'unirüin te'ejenaka yaamüin"
"yo como queso","eküshii taya keesü"
"me siento debil","matsüinsu taa'in"
"me sentia aturdido","maa'awapünashi taya"
"los encontre","tantüipa anain jia"
"las encontre","tantüipa anain jaya"
"me pidieron identificarme","nachuntüin tamüin tachiküaje"
"me atracaron","a'luwajünushi taya"
"yo tenia dudas","nnojotpüsu tanoujain namaa"
"tenia que probar","cho'ujaasü too'ulaküintü"
"detesto las habas","nnojotsü tacheküin tü awakas"
"odio las moscas","kanainsü ta'in tü ja'yumulerü"
"odio la opera","nnojotsü tacheküin tü opeeraka"
"odio el sushi","nnojotsü tacheküin suushika"
"tengo un gato","eesü tamana wanee muusa"
"tengo un perro","eesü tamana wanee erü"
"tengo una llave","eesü tamana wanee yaawe"
"tengo una pluma","eesü tamana wanee amülira"
"tengo un boligrafo","eesü tamana wanee ko'okiishajia"
"tengo dinero","eesü tamana nneerü"
"debo ir","o'unuinjachi taya"
"yo escucho musica","aapajüshi taya jayeechi"
"espero ganar","ta'atapajüin takanajüin"
"la abrace","ako'ojoshi taya sünain"
"acabo de mudarme","eiwalii taya okolojoin"
"hice una apuesta","sheitüichipa taya"
"necesito un abrazo","cho'ujaasü okoojünain tanain"
"necesito una siesta","cho'ujaasü tatunkai paala"
"necesito pintura","cho'ujaasü pintura tamüin"
"me falta pintura","acho'ujaasü pinturaka"
"yo necesito agua","cho'ujaasü wuinka tamüin"
"te necesitaba","cho'ujaapüsu pia tamüin"
"yo te necesite","cho'ujaapünasü pia tamüin"
"leo frecuentemente","aashaje'etshi taya waneepia"
"leo libros","aashaje'etshi taya karaloukta"
"veo un leon","te'rüin wanee katnajapüi"
"dispare una pistola","tasoteerüin wanee riwoolü"
"hablo rapido","kawachirasü tanüiki"
"hoy nade","ashuunajüshi taya"
"quiero un perro","tachek in wanee erü"
"quiero dinero","keeireka taa'in nneerü"
"quiero pasta","keeireka taa'in pirewaa"
"quiero estos","tacheküin tüirü"
"quiero ir","o'uneeshiaje taya"
"tenia miedo","momoluushi taya"
"tenia sue o","atunkeshatasü taa'in"
"fui dos veces","piantua takua chapunaa"
"se lo preguntare","tasakirüinchi"
"hare eso","tainjerü tia"
"me arriesgare","too'ulaküintü"
"soy surfista","kashaittarai taya saa'uje wüin"
"soy camarero","kamarera taya"
"soy adulta","ataralüirü taya"
"soy adulto","ataralüichi taya"
"soy agente","anajülin taya"
"estoy dubitativo","nnojotkai saa'in pansaain"
"me estoy ahogando","wüinsirashi taya"
"tengo formacion","anü tamana kasachikimaajatü"
"estoy congelado","kunjelaashi taya"
"estoy helado","jemiaishatashi taya"
"me estoy helando","jemiaishatashi taya joolu'u"
"estoy de luto","lutaasü taya"
"soy ingenuo","matüjainsai"
"estoy vacilante","nnojotkai saa'in tatüjaa aa'u"
"estoy gravemente herido","e'ikashii taya"
"estoy en perth","ani taya perth"
"soy como vosotras","tayaka müsü müinka paa'in"
"soy nuevo aqui","jekechi taya ya'aya"
"no soy estupido","nnojoishi taya malain"
"no soy pobre","nnojoishi taya müliain"
"no soy rico","nnojoishi taya washirüin"
"no estoy enferma","nnojoishi taya ayuuliin"
"no soy alto","nnojoishi taya moyo'usenüin"
"estoy pintando","epintajüshi taya"
"estoy embarazado","ipuotshi taya"
"estoy preparado","keraichipa taya"
"estoy preparada","keraipa taya"
"soy inquieto","jiwa'atashi taya"
"soy intranquilo","meimalainsai taya"
"estoy tan solo","temüiwashi ma'in taya"
"soy tan feliz","talatshi ma'in taa'in"
"estoy tan cansada","mapüsasü ma'in taya"
"todavia estoy levantado","aniiya taya kataa o'uyüi"
"soy terco","chechekiichi taya"
"soy el mejor","anashikai ma'in taya"
"estoy pensando","jülüjüsü taa'in"
"soy concienzudo","tatüjashatüin aa'u taainraka"
"soy tolerante","anamia ma'in taya"
"soy muy gordo","kaüsüshatashi taya"
"soy muy gorda","kaüsüshatasü taya"
"estoy muy gorda","kaüsüleesü ma'in taya"
"estoy muy cachondo","kojuuashi ma'in taya"
"soy muy timida","japüisü ma'in taya"
"lo he perdido","amülouisü tatuma"
"esta tom curado","anaichipa tom"
"esta ahi tom","na yaalala tom"
"es un lobo","walirü tü maaka"
"eso es amor","amürajawa türa"
"es esto bueno","anasüche eera tüü"
"esto es vino","wino tüü"
"ha empezado","eeiwali naainjüin"
"comenzo","eeiwali naainrüin"
"no es nuevo","nnojotsü jeketüin"
"era negro","mütsiiyapüsü"
"fue repugnante","talerajashaatüin"
"fue magico","pülasü ma'in"
"yo no fui","nnojoishi tayain"
"salio bien","ojuittusu anain"
"se quemara","isheechi nia"
"eso sera divertido","talatapüsü tia"
"es una trampa","türampa tia"
"es para tom","nümüinjatü tom"
"es mi libro","takaralo'utase"
"es mi vida","takuwa'ipa tia"
"esta en llamas","chuwatüsün müinma"
"es nuestro carro","we'ejena tia"
"esta nevando","niewajüsu"
"esta demasiado caliente","jaishatasü ma'in"
"es demasiado vieja","laa'üllairü shiaka"
"solo espera","pa'atapaja ne'e"
"segui bailando","püyonnaajaa soo'omüin"
"sigue conduciendo","pümanejaa soo'omüin"
"sigue mirando","piiraka soo'omüin"
"sigan corriendo","jawata soo'omüin"
"sigue cantando","p'irajaa soo'omüin"
"sigan cantando","ji'irajaa soo'omüin"
"continuen cantando","ayataa ji'irajan"
"continua sonriendo","ayataa pia püsirajüin"
"segui caminando","waraitta pia soo'omüin"
"segui escribiendo","püshajaa soo'omüin"
"dejalo ir","pü'üla no'unuin"
"dejame hablar","pü'üla taashajai"
"dejame pensar","pü'üla jülüjaain taa'in"
"salgamos","joo'u wajuttai"
"escuchemos","joo'u waapajai"
"no vayamos","nnojo wo'unuin"
"la vida continua","ayatüinjatü katawaaka o'u"
"entro mary","ekerotüsu maari"
"mary es mona","moona tü maari"
"mary es mia","tamüin maari"
"maria es alta","miyo'usenü maari"
"continua tom","maaya tom"
"prosigue tom","maaya süchiirua tom"
"corten el cesped","jü'yoto tü mojuuika"
"nadie sabe","nnojotsü jaraliin atüjain"
"nadie se movio","nnojoishi jarai akutulain"
"nadie pregunto","nnojoishi jaralii asakirain"
"ahora dejanos","pü'üla waya joolu'u"
"ahora sentate","püikkalaa joolu'ukana"
"ahora proba este","pu'ulaka tü joolu'u"
"ahora prueba tu","pu'ulaka piakai"
"oh lo obtuve","atak toustaa anain"
"nuestro equipo gano","akanajashi wapüshikana"
"por favor marchese","analüü putuma pu'unaa yaaje"
"se alalo","pii'iyataa"
"abrela","püjutajapan"
"abrela del todo","püjutalaa supüshua'a"
"ponganlo alli","ji'itapan yalaya"
"ponlo ahi","pi'itaa saaya"
"corre y escondete","püwata otta punujulaa"
"avergüenzate","japüiimata pia"
"ella tiene vino","eesü wino süma'ana shiaka"
"ella nos ayuda","shiaka sükaaliijain waya"
"ella es feliz","talatsü ma'in shiaka"
"esta tranquila","jimatsü shiaka"
"ella esta equivocada","o'tchewasü shiaka"
"le gusto","nücheküin"
"ella nos quiere","eeshi waliin sümüin"
"le disparo","nüsoneerüin"
"ella se levanto","atamasü shiaka"
"ella le demando","aküjüsü achikü shiaka"
"muestrame eso","pii'i'yata tamüin tüma"
"ha venido alguien","na antüin wanee"
"alguien llego","antüshi wanee wayuu"
"quedense en casa","makataa jia miichipaa"
"quedate conmigo","makataa pia tama"
"deja de discutir","joloo pia suulia atkaawaka"
"deja de empujar","nnojo püjutaa achikü"
"deja de cantar","nnojo pii'irajain"
"deja de fumar","nnojo pükaijain"
"para el coche","püsha'waleera e'ejenaka"
"por favor parate","analüü putuma püsha'wala"
"felices sue os","anaalü putunkia"
"dulces sue os","analüü putunkia"
"tomate un descanso","pemeera'mata"
"llevatelo a casa","pülü'üjaa miichipamüin"
"llevatelo","pülü'üjaa"
"toma mi mano","paapa tajapü"
"tomate el bondi","püsaapan tü wondika"
"llevanos a casa","pülü'üjaa waya miichipamüin"
"cuentame mas","püküjaa soo'omüin wamüin"
"ese era tom","chiaa nia tom"
"eso fue malo","mojuulut tia"
"eso fue raro","wanejatkai saa'in tia"
"eso vale","kaliasü tia"
"con eso tengo","keraweechi taya süka tia"
"eso ayudara","eesü akaaliijain tia"
"durara","kakaliainjatü"
"eso durara","kakaliawerü tia"
"funcionara","a'yataweerü"
"eso funcionara","a'yataweerü tia"
"eso me valdra","aneerü tapüleerü tia"
"es un monton","mainmashanasü"
"es una locura","mamainnaawa tia"
"eso es cruel","kaünüralaa tia"
"es raro","waneejatü saa'in"
"ambos se fueron","o'unushi na piamaleyan"
"todos se sentaron","aikkalashi napüshua'a"
"aprueban","aa müsüirua"
"ellos aprueban","aa müshiirua"
"son grandes","miyo'usenü nayainü"
"entraron","ekerotüshi"
"ellas entraron","ekerotüshi nayainü"
"vitorearon","talatshi ma'inrua"
"tuvieron un accidente","pasiruashi nayainü"
"se escaparon","a'luwatashi naya"
"abandonaron","noo'ulain"
"se rindieron","napütüin"
"tiraron la toalla","noo'ulain tia"
"ellos nos odian","na'ürülashi ne'e waya"
"ellos nos ayudan","nakaaliijain waya"
"ellas nos ayudan","shiakaliru nakaaliijain waya"
"me conocian","ni'raajüipa taya"
"ellos me conocen","ni'raajüichipa taya"
"ellos nos conocen","nayakalirü ne'raajüipa waya"
"les encanta","nachekashatüin"
"lo adoran","nawajüin ma'in"
"ellos me aman","aisü taya namüin"
"ellos me necesitan","cho'ujaasü taya namüin"
"vieron a tom","ne'rüin tom"
"ellos te vieron","ni'rüin pia"
"pararon","ashawalashi"
"sudaron","kerashatashi"
"llamaran","nounekaainchi taya"
"ellos llamaran","naya ounekajaintü yaamüin"
"ellos vendran","antechi nayainü"
"lo sabran","natüjeerü aa'u"
"son chicos","tooloyuu naya"
"ellos son chicos","tooloyuu nayainü"
"son muchachos","tepichi naya"
"son huevos","ashuku tia"
"son rapidos","kaalapüshi naya"
"estan perfectamente","anashatashi naya"
"estan estupendamente","anashatashi ma'in"
"son buenos","anamia naya"
"se encuentran aqui","anii nayainü ya'aya"
"estan en casa","chaa nayainü miichipa"
"son mios","tamüinreya"
"son simpaticos","anachoinshi nayainü"
"son bonitos","anachoinshi"
"son ricas","washirü shiakalirü"
"son feos","kasüülashi naya"
"son debiles","matsüinshi naya"
"ellos han ido","o'unuichipa nayainü"
"ellas han ido","o'unuipa shiakaliru"
"esto es comida","eküülü tüü"
"esto es oro","ooro tüü"
"esto es vida","anaa akuwa'ipa tüü"
"esto es carne","asalaa tüü"
"esto es nuestro","wamüin tüü"
"esto es arroz","roo tüü"
"esto es feo","kasüülasü tüü"
"esto ayudara","akaaliijaintü tüü"
"esto funcionara","a'yatawerü tüü"
"tom comio pastel","ekaashi totta tom"
"tomas comio torta","ekaashi totta tomas"
